DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, flagcol, notes
CAT, 2022-05-02 12:20:00 EST, 2022-05-02 14:30:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and added a turbidity sensor to the EXO
CAT, 2022-05-09 12:30:00 EST, 2022-05-09 13:00:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning 
CAT, 2022-05-23 13:10:00 EST, 2022-05-23 13:30:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning 
CAT, 2022-05-23 13:40:00 EST, 2022-05-25 11:50:00 EST, wtr*, c(9:14), 1, c(48:52), sensor string up for cleaning and then it was tangled so not measuring the correct depth
CAT, 2022-05-23 13:40:00 EST, 2022-05-25 11:50:00 EST, do*, c(15:20), 1, c(53:58), sensor string up for cleaning and then it was tangled so not measuring the correct depth
CAT, 2022-05-23 13:40:00 EST, 2022-05-25 11:50:00 EST, Lvl*, c(41:42), 1, c(76:78), sensor string up for cleaning and then it was tangled so not measuring the correct depth
CAT, 2022-06-07 13:00:00 EST, 2022-06-07 13:30:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2022-06-20 14:20:00 EST, 2022-06-20 14:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2022-06-27 10:00:00 EST, 2022-06-27 10:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2022-06-30 21:50:00 EST, 2022-06-30 22:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for repositioning EXO
CAT, 2022-07-11 12:30:00 EST, 2022-07-11 13:00:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2022-07-25 09:40:00 EST, 2022-07-25 11:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and RDO calibrations
